ERROR: logging before google.Init: I0910 15:21:57.420244       9 server.go:1530] Starting language server process with pid 4616
ERROR: logging before google.Init: I0910 15:21:57.876016     109 store_client.go:665] summary store: starting background reconciliation (trigger=empty_on_open)
ERROR: logging before google.Init: W0910 15:21:57.876585     106 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.876585     106 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0910 15:21:57.876585     106 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.876585     106 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0910 15:21:57.877680     109 server.go:2744] ListConversations returning 0 summaries
ERROR: logging before google.Init: I0910 15:21:57.877680     109 store_client.go:694] summary store: reconcile func returned 0 records, skipping
ERROR: logging before google.Init: W0910 15:21:57.878194     106 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.878194     106 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0910 15:21:57.878194     106 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.878194     106 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0910 15:21:57.890738       1 server.go:2037] Backend project ID updated dynamically to: default-cli-project
ERROR: logging before google.Init: I0910 15:21:57.890738       1 manager.go:421] Initializing CLI store manager for workspace C:\Users\Usuario\Desktop\CIC\7\LUIGI\amazon-waddle
ERROR: logging before google.Init: I0910 15:21:57.901326       1 cli_setting_manager.go:156] applyUserSettings: no shared config permissions from C:\Users\Usuario\.gemini\config\config.json
ERROR: logging before google.Init: I0910 15:21:57.901326       1 cli_setting_manager.go:92] CLI settings initialized: permissions=<nil>, toolPermission=request-review
ERROR: logging before google.Init: W0910 15:21:57.903046     106 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.903046     106 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0910 15:21:57.903046     106 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.903046     106 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0910 15:21:57.903570       1 hooks_manager.go:53] loaded 0 named hooks from 0 hooks.json file(s)
ERROR: logging before google.Init: I0910 15:21:57.903570       1 manager.go:595] CLI store manager initialized successfully
ERROR: logging before google.Init: I0910 15:21:57.903570       1 common.go:296] CLI store manager created successfully
ERROR: logging before google.Init: I0910 15:21:57.903570       1 cli_setting_manager.go:218] ApplyProjectPermissionGrants: no grants for project "CLI Project", cleared project permissions
ERROR: logging before google.Init: I0910 15:21:57.903570     115 quota_manager.go:36] doRefreshQuota: skipped (not logged in)
ERROR: logging before google.Init: I0910 15:21:57.921306       1 common.go:415] Starting CLI program
CLI ready for user input
ERROR: logging before google.Init: W0910 15:21:57.921306     106 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.922894     106 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0910 15:21:57.922894     106 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.922894     106 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0910 15:21:57.928148     163 terminal_info_manager.go:225] Terminal detection: TERM="" altScreen=true ssh=false osc8=true
ERROR: logging before google.Init: I0910 15:21:57.930137     170 manager.go:1299] Reloading system slash commands and skills
ERROR: logging before google.Init: I0910 15:21:57.930137     170 manager.go:1276] Reloading system slash commands
ERROR: logging before google.Init: I0910 15:21:57.930137     170 manager.go:1280] Slash commands unchanged, skipping update
ERROR: logging before google.Init: I0910 15:21:57.932139     165 gemini_extensions.go:28] Detecting Gemini extensions in C:\Users\Usuario\.gemini\extensions
ERROR: logging before google.Init: I0910 15:21:57.932139     165 gemini_extensions.go:49] No extensions found
ERROR: logging before google.Init: I0910 15:21:57.934643     178 keyring.go:64] keyringAuth: loaded token, expiry=2026-09-09 21:21:01.4427026 -0300 -03 expired=true
ERROR: logging before google.Init: I0910 15:21:57.939627       1 analytics.go:176] CLI startup completed (took 544.183ms)
ERROR: logging before google.Init: W0910 15:21:57.942954     106 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.942954     106 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0910 15:21:57.942954     106 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.942954     106 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0910 15:21:57.944039     138 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.944039     138 errorreport.go:224] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0910 15:21:57.944039     138 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0910 15:21:57.944039     138 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0910 15:21:58.052632     224 manager.go:902] Full redraw completed (rerenderAll) for conversation  (epoch 0, items 1)
ERROR: logging before google.Init: I0910 15:21:58.126558     167 encoder_embed.go:85] Installing/updating embedded webm_encoder binary to C:\Users\Usuario\.gemini\antigravity-cli\bin\webm_encoder.exe
ERROR: logging before google.Init: I0910 15:21:58.326115     178 browser.go:265] token refreshed, new expiry=2026-09-10 16:21:57.3261153 -0300 -03 m=+3600.066138701
ERROR: logging before google.Init: I0910 15:21:58.752258     177 auth.go:148] ChainedAuth: authenticated via keyring (effective: keyring)
ERROR: logging before google.Init: I0910 15:21:58.752258     177 server_oauth.go:192] applyAuthResult: email=luclucgamer@gmail.com, authMethod=consumer, quotaProject=
ERROR: logging before google.Init: I0910 15:21:58.752258     177 server_oauth.go:197] OAuth: authenticated successfully as luclucgamer@gmail.com
ERROR: logging before google.Init: I0910 15:21:58.752258     177 server_oauth.go:203] b.codeAssistClient.AuthProvider (0x3e29f17e22d0) is same as b.cliAuth (0x3e29f17e22d0)
ERROR: logging before google.Init: W0910 15:21:58.753779     418 cache.go:163] Failed to refresh cache in background: admin controls not applicable
ERROR: logging before google.Init: W0910 15:21:58.753779     439 cache.go:163] Failed to refresh cache in background: admin controls not applicable
ERROR: logging before google.Init: E0910 15:21:59.300399      16 browser_context.go:179] failed to install playwright: could not install driver: could not install driver: error: got non 200 status code: 404 (404 Not Found) from https://playwright.azureedge.net/builds/driver/playwright-1.57.0-win32_x64.zip
error: got non 200 status code: 404 (404 Not Found) from https://playwright-akamai.azureedge.net/builds/driver/playwright-1.57.0-win32_x64.zip
error: got non 200 status code: 404 (404 Not Found) from https://playwright-verizon.azureedge.net/builds/driver/playwright-1.57.0-win32_x64.zip
ERROR: logging before google.Init: I0910 15:21:59.684029     417 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x575e19ee30fc47cc
ERROR: logging before google.Init: I0910 15:22:00.329796     414 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0x130f2b36809d32fc
ERROR: logging before google.Init: I0910 15:22:00.368658     177 model_config_manager.go:327] Propagating selected model override to backend: label="Gemini 3.8 Flash (High)"
ERROR: logging before google.Init: I0910 15:22:00.368658     115 quota_manager.go:45] doRefreshQuota: starting reload (force=true)
ERROR: logging before google.Init: I0910 15:22:00.369175     116 experiment_manager.go:56] Starting experiment refresh after login
ERROR: logging before google.Init: I0910 15:22:00.893162     116 experiment_manager.go:60] Experiments refreshed after login
ERROR: logging before google.Init: I0910 15:22:00.894161     515 manager.go:1276] Reloading system slash commands
ERROR: logging before google.Init: I0910 15:22:01.733632     478 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0xeec658af2bcbfd1c
ERROR: logging before google.Init: I0910 15:22:02.118445     478 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0xa73b30d277ef061a
ERROR: logging before google.Init: I0910 15:22:02.377315     478 model_config_manager.go:327] Propagating selected model override to backend: label="Gemini 3.8 Flash (High)"
ERROR: logging before google.Init: I0910 15:22:02.377315     115 quota_manager.go:45] doRefreshQuota: starting reload (force=true)
ERROR: logging before google.Init: I0910 15:22:02.377315     539 model_config_manager.go:327] Propagating selected model override to backend: label="Gemini 3.8 Flash (High)"
ERROR: logging before google.Init: I0910 15:22:02.377315     116 experiment_manager.go:56] Starting experiment refresh after login
ERROR: logging before google.Init: I0910 15:22:02.776256     116 experiment_manager.go:60] Experiments refreshed after login
ERROR: logging before google.Init: I0910 15:22:02.776256     116 experiment_manager.go:56] Starting experiment refresh after login
ERROR: logging before google.Init: I0910 15:22:02.776256     490 manager.go:1276] Reloading system slash commands
ERROR: logging before google.Init: I0910 15:22:02.789424     115 quota_manager.go:45] doRefreshQuota: starting reload (force=true)
ERROR: logging before google.Init: I0910 15:22:02.799631     490 manager.go:1280] Slash commands unchanged, skipping update
ERROR: logging before google.Init: I0910 15:22:02.985567     538 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0xd1543ae06d97e5ba
ERROR: logging before google.Init: I0910 15:22:02.992431     116 experiment_manager.go:60] Experiments refreshed after login
ERROR: logging before google.Init: I0910 15:22:02.992431     508 manager.go:1276] Reloading system slash commands
ERROR: logging before google.Init: I0910 15:22:03.015770     508 manager.go:1280] Slash commands unchanged, skipping update
ERROR: logging before google.Init: I0910 15:22:03.593044     552 manager.go:1299] Reloading system slash commands and skills
ERROR: logging before google.Init: I0910 15:22:03.593044     552 manager.go:1276] Reloading system slash commands
ERROR: logging before google.Init: I0910 15:22:03.594556     494 hooks_manager.go:53] loaded 0 named hooks from 0 hooks.json file(s)
ERROR: logging before google.Init: I0910 15:22:03.620132     552 manager.go:1280] Slash commands unchanged, skipping update
ERROR: logging before google.Init: I0910 15:22:29.482361     684 manager.go:902] Full redraw completed (rerenderAll) for conversation  (epoch 0, items 1)
ERROR: logging before google.Init: I0910 15:27:01.308975     692 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0xd53fa3066d65dcc
ERROR: logging before google.Init: I0910 15:27:58.559540     693 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x7f536511b5a42cab
ERROR: logging before google.Init: I0910 15:31:17.536684     100 server.go:2765] Got signal terminated, shutting down
ERROR: logging before google.Init: I0910 15:31:17.536684     713 server.go:2807] Language server shutting down
ERROR: logging before google.Init: I0910 15:31:17.536684     713 server.go:2812] Waiting for migrations to complete to prevent partial migration state...
ERROR: logging before google.Init: I0910 15:31:17.678910       1 common.go:420] CLI program exited, shutting down
ERROR: logging before google.Init: E0910 15:31:17.679911       1 common.go:424] failed to truncate history: reading history file: open C:\Users\Usuario\.gemini\antigravity-cli\history.jsonl: O sistema não pode encontrar o arquivo especificado.
ERROR: logging before google.Init: E0910 15:31:17.682912      26 file_watcher.go:194] skipping empty or temp file: 
ERROR: logging before google.Init: E0910 15:31:17.684909      26 file_watcher.go:194] skipping empty or temp file: 
ERROR: logging before google.Init: I0910 15:31:17.960135       1 manager.go:775] CLI store manager shutting down
