I0910 15:36:04.914379      50 server.go:1542] Starting language server process with pid 13836
I0910 15:36:06.722801     253 quota_manager.go:45] doRefreshQuota: starting reload (force=true)
I0910 15:36:06.908406     254 experiment_manager.go:60] Experiments refreshed after login
I0910 15:36:06.908406     617 manager.go:1276] Reloading system slash commands
I0910 15:36:07.250163     518 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0xa5e07ce309ed2998
E0910 15:36:07.317804      82 browser_context.go:179] failed to install playwright: could not install driver: could not install driver: error: got non 200 status code: 404 (404 Not Found) from https://playwright.azureedge.net/builds/driver/playwright-1.57.0-win32_x64.zip
error: got non 200 status code: 404 (404 Not Found) from https://playwright-akamai.azureedge.net/builds/driver/playwright-1.57.0-win32_x64.zip
error: got non 200 status code: 404 (404 Not Found) from https://playwright-verizon.azureedge.net/builds/driver/playwright-1.57.0-win32_x64.zip
I0910 15:36:07.771707     518 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x99e32237a1bcfb30
I0910 15:36:07.954613     518 model_config_manager.go:327] Propagating selected model override to backend: label="Gemini 3.8 Flash (High)"
I0910 15:36:07.955162     254 experiment_manager.go:56] Starting experiment refresh after login
I0910 15:36:07.955162     253 quota_manager.go:45] doRefreshQuota: starting reload (force=true)
I0910 15:36:07.955162     655 model_config_manager.go:327] Propagating selected model override to backend: label="Gemini 3.8 Flash (High)"
I0910 15:36:08.143775     254 experiment_manager.go:60] Experiments refreshed after login
I0910 15:36:08.144419     254 experiment_manager.go:56] Starting experiment refresh after login
I0910 15:36:08.144430     618 manager.go:1276] Reloading system slash commands
I0910 15:36:08.175266     618 manager.go:1280] Slash commands unchanged, skipping update
I0910 15:36:08.356636     254 experiment_manager.go:60] Experiments refreshed after login
I0910 15:36:08.357284     619 manager.go:1276] Reloading system slash commands
I0910 15:36:08.373706     253 quota_manager.go:45] doRefreshQuota: starting reload (force=true)
I0910 15:36:08.412819     619 manager.go:1280] Slash commands unchanged, skipping update
I0910 15:36:08.512933     654 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0xbf8e9dff584da8c1
I0910 15:36:39.123508     622 input_loop.go:94] HandleUserInput called with text: "why am I unable to use docker compose up here? I got this error message \"unable to get image 'amazon-waddle-azamon': error during connect: Get \"http://%2F%2F.%2Fpipe%2FdockerDesktopLinuxEngine/v1.51/images/amazon-waddle-azamon/json\": open //./pipe/dockerDesktopLinuxEngine: O sistema não pode encontrar o arquivo especificado.\""
I0910 15:36:39.123508     571 conversation_manager.go:451] Starting new conversation (agent=false)
I0910 15:36:39.123508     571 server.go:1125] Creating new cascade trajectory (agentScript=false)
I0910 15:36:39.123508     571 server.go:1128] Conversation using project ID: default-cli-project
I0910 15:36:39.156387     571 server.go:1160] Created conversation c09ae6a1-bd43-428b-b777-19a3759868b2
I0910 15:36:39.156904     571 server.go:2989] GetConversationDetail: found conversation c09ae6a1-bd43-428b-b777-19a3759868b2 (active=true)
I0910 15:36:39.157784     571 server.go:2989] GetConversationDetail: found conversation c09ae6a1-bd43-428b-b777-19a3759868b2 (active=true)
I0910 15:36:39.158779     571 conversation_manager.go:498] project: switching to conversation belonging to project ID: default-cli-project
I0910 15:36:39.158779     571 server.go:2057] Backend project ID updated dynamically to: default-cli-project
I0910 15:36:39.158779     571 cli_setting_manager.go:218] ApplyProjectPermissionGrants: no grants for project "CLI Project", cleared project permissions
I0910 15:36:39.158779     571 conversation_manager.go:544] project: synced active project to "CLI Project" (id=default-cli-project) from conversation switch
I0910 15:36:39.158779     571 conversation_manager.go:817] Streaming conversation c09ae6a1-bd43-428b-b777-19a3759868b2
I0910 15:36:39.158779     571 server.go:2989] GetConversationDetail: found conversation c09ae6a1-bd43-428b-b777-19a3759868b2 (active=true)
I0910 15:36:39.159975     698 manager.go:1299] Reloading system slash commands and skills
I0910 15:36:39.159975     698 manager.go:1276] Reloading system slash commands
I0910 15:36:39.159975     571 server.go:1169] Starting conversation update stream for c09ae6a1-bd43-428b-b777-19a3759868b2
I0910 15:36:39.160481     571 conversation_manager.go:633] Forwarding user message to conversation c09ae6a1-bd43-428b-b777-19a3759868b2 (items=1, media=0)
I0910 15:36:39.160481     571 server.go:1716] Sending user message to conversation c09ae6a1-bd43-428b-b777-19a3759868b2 (items=1, media=0)
I0910 15:36:39.183515     571 latency_breakdown.go:142] SEND_USER_CASCADE_MESSAGE_LATENCY latency breakdown: map[active_user_state_latency_ms:0 blocking:false cascade_id:c09ae6a1-bd43-428b-b777-19a3759868b2 cascade_send_latency_ms:22 hydrate_slash_commands_latency_ms:0 load_trajectory_latency_ms:0 media_count:0 media_summaries_latency_ms:0 message_origin:AGENT_MESSAGE_ORIGIN_UNSPECIFIED refresh_browser_state_latency_ms:0 resolve_agent_config_latency_ms:1 save_media_latency_ms:0 saved_media_count:0 status:OK total_latency_ms:23 trajectory_id:48eb7376-9527-49ff-ad33-14585f36a65f]
I0910 15:36:39.212928     698 manager.go:1280] Slash commands unchanged, skipping update
W0910 15:36:39.537728     702 declarative_config_loader.go:251] skipping component during resolution: empty component: prompt section "subagent_reminder"
W0910 15:36:39.537728     702 declarative_config_loader.go:251] skipping component during resolution: empty component: prompt section "terminal_sandbox"
I0910 15:36:39.787996     711 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x6ef5c1769c76c379 ResponseID: t_iiaoyKLcb5ugfZ45C4DA
I0910 15:36:43.229047    1266 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x2fe9cf884f773996 ResponseID: uPiiao24Ju6w1MkPnvL1wQg
I0910 15:36:45.108263    1351 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xe3b4dde1825916cf ResponseID: vPiiauiJDJCd9MoP7ObF8Q0
I0910 15:36:49.216655    1523 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xff1cc89bddfa4d7c ResponseID: vfiiatTJO5fV1MkPufW46A4
I0910 15:36:51.404776     253 quota_manager.go:41] doRefreshQuota: skipped (throttled)
I0910 15:38:54.814907    1695 manager.go:902] Full redraw completed (rerenderAll) for conversation c09ae6a1-bd43-428b-b777-19a3759868b2 (epoch 1, items 6)
I0910 15:40:00.535643    1725 manager.go:902] Full redraw completed (rerenderAll) for conversation c09ae6a1-bd43-428b-b777-19a3759868b2 (epoch 1, items 6)
I0910 15:42:06.042784    1765 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0xde276d395b1b8d41
I0910 15:42:06.113518    1748 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x7efc6b34a4c4dfa4
I0910 15:48:06.219306    1749 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x5b059df4f238db24
I0910 15:48:10.340855    1781 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0xe235997072162217
I0910 15:54:06.023588    1784 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0xe6f7c48a68605496
I0910 15:54:06.123326    1756 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0x90f23372b8767459
I0910 16:00:05.896701    1788 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0xc8404d8725e253c2
I0910 16:00:06.092530    1761 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0x495877284ad9514a
I0910 16:06:05.834259    1799 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0xad1985de3a2e5223
I0910 16:06:05.938193    1814 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0x94fdb0427b25be8b
I0910 16:12:05.943545    1806 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0xda298b8224dfb5f2
I0910 16:12:06.386389    1816 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0x8c7bd1b18b02e50b
I0910 16:17:08.259739    1745 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x477387f8015abfa1
I0910 16:17:09.340233    1820 http_helpers.go:296] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0x35209110c09923d1
I0910 16:19:59.739440     124 server.go:2782] Got signal terminated, shutting down
I0910 16:19:59.739969    1830 server.go:2824] Language server shutting down
I0910 16:19:59.739969    1830 server.go:2829] Waiting for migrations to complete to prevent partial migration state...
I0910 16:19:59.748177     699 server.go:1216] Stream goroutine exited for c09ae6a1-bd43-428b-b777-19a3759868b2, sending completion signal
I0910 16:19:59.748177     699 conversation_manager.go:908] Stream completed for c09ae6a1-bd43-428b-b777-19a3759868b2, clearing ResponsePending
E0910 16:19:59.748704     103 file_watcher.go:194] skipping empty or temp file: 
E0910 16:19:59.748704     103 file_watcher.go:194] skipping empty or temp file: 
E0910 16:19:59.748704     103 file_watcher.go:194] skipping empty or temp file: 
E0910 16:19:59.748704     103 file_watcher.go:194] skipping empty or temp file: 
E0910 16:19:59.748704     103 file_watcher.go:194] skipping empty or temp file: 
I0910 16:19:59.768060       1 common.go:420] CLI program exited, shutting down
I0910 16:20:00.008063       1 manager.go:775] CLI store manager shutting down
I0910 16:20:00.010359       1 conversation_manager.go:774] Stopping conversation stream
